"","day","hour","PRES_hourly","SPED_hourly","DIR_hourly","T_hourly","RH_hourly"
"21","2016-01-01",20,99716.4444444445,7.90861110024982,140.771181532848,-265.053341081407,89.4519443511963
"22","2016-01-01",21,99573.0555555555,8.30833332869742,144.129008968588,-265.067509460449,92.7791667938233
"23","2016-01-01",22,99443.3888888889,8.56222223705715,146.585436851303,-264.826662953695,91.8097221798367
"24","2016-01-01",23,99305.8888888889,8.41944445371628,147.254475700445,-264.471948072645,91.8377778371175
"25","2016-01-02",0,99200.9687890137,7.30563982219136,158.470064305708,-264.00221859745,91.8819351567758
"26","2016-01-02",1,99103.6944444444,7.07472222381168,154.837888938649,-263.681664191352,91.1333331425985
"27","2016-01-02",2,98993.6388888889,7.52888889047835,154.222844931916,-263.239721679687,88.7658336215549
"28","2016-01-02",3,98896.3888888889,8.12972222699059,156.648107932602,-262.977504730225,87.2680555767483
"29","2016-01-02",4,98791.6388888889,8.41055556999312,150.297777943236,-263.11139026218,87.8724999533759
"30","2016-01-02",5,98711.6111111111,8.93972224063343,154.543871227339,-263.587416811343,93.7207406785753
"31","2016-01-02",6,98670.1944444445,7.64361111256811,162.433122591685,-263.546522336238,93.8551184960221
"32","2016-01-02",7,98640.9722222222,6.92166668574015,159.597043994957,-263.570004611545,93.542500283983
"33","2016-01-02",8,98608.3055555555,7.19194446073638,153.498260089008,-263.52722990248,93.1388888465034
"34","2016-01-02",9,98544.1388888889,8.15555555621783,151.692440075822,-263.612507035997,94.5869443469578
"35","2016-01-02",10,98476.75,8.40777778228124,156.660189694589,-263.537786102295,95.2205557293362
"36","2016-01-02",11,98402.0277777778,7.95888892147276,153.361379111531,-263.331113009983,95.8511112001208
"37","2016-01-02",12,98370.8888888889,5.26777778400315,174.558694279705,-262.667778438992,97.2491666581896
"38","2016-01-02",13,98417.9444444445,5.66055554813809,223.58337691746,-262.173336791992,96.3944444656372
"39","2016-01-02",14,98517.8611111111,7.19527776771122,243.228428554608,-262.447224934896,92.9022222306993
"40","2016-01-02",15,98647.2777777778,7.69194444550408,255.851123270477,-262.560564507379,90.5952776167128
"41","2016-01-02",16,98794.1666666667,7.04194446338547,271.251512740538,-262.804163530138,92.1800000720554
"42","2016-01-02",17,98904.2777777778,6.35138889220026,263.579718390304,-263.040373060439,91.712963047734
"43","2016-01-02",18,99008.4166666667,6.67361112568114,270.119890946609,-263.166830430049,91.5790449435345
"44","2016-01-02",19,99117.5833333333,7.28916666573948,268.762257486393,-263.38583577474,95.2019447114732
"45","2016-01-02",20,99204.4166666667,6.59666665527555,266.512758342657,-263.544730207655,92.6366666793823
"46","2016-01-02",21,99263.0555555555,6.61249999801318,264.436755538797,-263.680830552843,90.6352778752644
"47","2016-01-02",22,99319.4722222222,7.08083333704207,253.796132772309,-264.131111484104,94.1838890075684
"48","2016-01-02",23,99403.9444444445,7.52972222699059,250.896589525407,-265.147778235542,96.4347224977281
"49","2016-01-03",0,99460.3426966292,7.22413857334413,248.278961131771,-265.627292891179,90.2875873313265
"50","2016-01-03",1,99481.6666666667,7.06972222460641,237.272287019326,-266.222222476535,85.2649999194675
"51","2016-01-03",2,99471.1944444445,5.26722222500377,235.498183497025,-266.671116977268,78.6288887659709
"52","2016-01-03",3,99364.7777777778,3.42083333366447,226.148340795743,-267.763330925835,78.0077777014838
"53","2016-01-03",4,99250.5833333333,3.50277777943346,194.952037019906,-268.016109381782,79.3838890075683
"54","2016-01-03",5,99113.6388888889,2.89333332810137,158.580587537797,-268.261852010091,80.8962964940954
"55","2016-01-03",6,98946.8888888889,4.44250000582801,167.106364525226,-266.839824683181,85.674812721462
"56","2016-01-03",7,98751.8333333333,5.50888889034589,165.145625746749,-265.361391957601,91.4363889270359
"57","2016-01-03",8,98564.8611111111,6.92944445278909,165.771939554424,-264.966115146213,93.6263890372382
"58","2016-01-03",9,98359.1944444445,7.82250001827876,165.477105619059,-264.675278557671,93.9530556784736
"59","2016-01-03",10,98132.25,8.5147222214275,163.736059968267,-264.460281456841,94.2416665607028
"60","2016-01-03",11,97895.1666666667,9.72750000291401,165.201540551205,-264.180277845595,93.7888888676961
"61","2016-01-03",12,97745.1111111111,7.59666665461328,190.793071131566,-264.562779744466,94.3688891092936
"62","2016-01-03",13,97648.4444444444,3.78500000172191,209.364066401817,-265.716109636095,95.3575000762939
"63","2016-01-03",14,97611.9444444445,3.89944443470902,200.655583128833,-265.263614484999,95.6900001525879
"64","2016-01-03",15,97594.6666666667,3.87499999205272,202.425293611336,-264.831109025743,95.9030558692084
"65","2016-01-03",16,97592.1111111111,3.39999999569522,204.334263395506,-265.439169565837,96.2586111916436
"66","2016-01-03",17,97581.2777777778,3.33138888412052,195.19172461139,-266.251851851852,96.7659260219998
"67","2016-01-03",18,97554.2222222222,3.9288888865047,211.467505094041,-266.181708567568,95.4915573222509
"68","2016-01-03",19,97559.1388888889,3.68805555171437,214.839684880104,-266.336385854085,95.5527775658501
"69","2016-01-03",20,97551.8333333333,3.95305555529065,207.686069014928,-266.263328213162,94.2841668446859
"70","2016-01-03",21,97559.25,4.14249999721845,198.675316337802,-266.632497066922,93.9583332909478
"71","2016-01-03",22,97528.7777777778,4.59194444020589,197.00097833248,-266.78249850803,92.8908333248562
"72","2016-01-03",23,97518.5555555555,4.74166665540801,202.37264619297,-266.481112331814,90.5230555852254
"73","2016-01-04",0,97501.2128589263,4.23617353451981,196.912984291502,-266.640904152974,91.6650406602914
"74","2016-01-04",1,97464.3333333333,4.33611110846202,202.45939680221,-266.672501712375,91.7347222858005
"75","2016-01-04",2,97462.0833333333,5.41055554946264,208.038756496198,-266.465837097168,92.0688891092936
"76","2016-01-04",3,97453.9166666667,4.45500000516573,203.358780012952,-266.556116146511,93.2969443215264
"77","2016-01-04",4,97429.2777777778,4.69611110356119,192.54898140467,-266.852223459879,93.8880554411147
