"date","PRES","SPED","DIR","T","RH"
2016-01-04 13:45:00,97335.5555555556,5.2311111052831,216.383191879537,-263.134446207682,81.4666665818956
2016-01-04 14:00:00,97350.8888888889,4.75333331690894,225.76266325035,-263.650001695421,82.6722225613064
2016-01-04 14:15:00,97358.5555555556,5.04111110899184,228.903901330158,-264.064446004232,84.4911111619737
2016-01-04 14:30:00,97365.7777777778,3.5455555624432,217.495947758614,-264.450003051758,85.836666615804
2016-01-04 14:45:00,97364.2222222222,4.31333333386315,201.675609744118,-264.26666937934,86.2044443766276
2016-01-04 15:00:00,97357.3333333333,5.14888887670305,211.971718780273,-263.710000610352,81.8388892279731
2016-01-04 15:15:00,97368,5.3077777756585,218.642756806357,-264.162220933702,81.0522221883138
2016-01-04 15:30:00,97379.6666666667,4.71444444126553,213.869214329267,-264.433335367839,82.1333336724175
2016-01-04 15:45:00,97381.8888888889,4.37666665712992,209.596876306852,-264.637780422635,83.1711113823785
2016-01-04 16:00:00,97383.2222222222,4.12333333492279,209.483981575453,-264.921112399631,84.0755558437771
2016-01-04 16:15:00,97392.2222222222,3.97222220102946,199.930868459488,-265.050006103516,85.240000406901
2016-01-04 16:30:00,97392.3333333333,4.80666665765974,192.800558386184,-265.251106092665,86.5844448513455
2016-01-04 16:45:00,97396.5555555556,5.61999996768104,198.765685233727,-265.298884073893,86.8966668870714
2016-01-04 17:00:00,97404.4444444444,5.31111113760206,207.706708125537,-265.104446750217,86.0599995083279
2016-01-04 17:15:00,97404.3333333333,5.18111109733582,205.226136910019,-265.102228461372,85.473333062066
2016-01-04 17:30:00,97403,4.68444442749023,196.286750739722,-265.255546739366,86.5844445970323
2016-01-04 17:45:00,97409.7777777778,4.665555551317,198.894716726206,NA,NA
2016-01-04 18:00:00,97410.2222222222,4.09333332909478,201.217283961939,-265.352806108453,88.2719103352407
2016-01-04 18:15:00,97404.2222222222,4.17888888782925,198.899584273357,-265.521118503147,89.3855548434787
2016-01-04 18:30:00,97404.5555555556,4.5288889196184,195.091048031571,-265.68888414171,90.137777879503
2016-01-04 18:45:00,97398,4.48777778148651,195.975936865963,-265.992227172852,90.4611107720269
2016-01-04 19:00:00,97394,4.68333334657881,194.059539868191,-266.093339708116,90.212222205268
2016-01-04 19:15:00,97386,4.25444442166222,192.971939534729,-266.124449666341,90.2000001695421
2016-01-04 19:30:00,97388.6666666667,4.54111110634274,191.799061407289,-266.095561387804,90.6333331637912
2016-01-04 19:45:00,97379.4444444444,5.248888903194,191.577444158794,-265.918890041775,91.2577775743273
2016-01-04 20:00:00,97383,5.09111111429003,192.551061203594,-265.696660359701,90.4344445122613
2016-01-04 20:15:00,97377,4.67666666242811,191.73816761389,-265.744442749023,89.8077777438694
2016-01-04 20:30:00,97361.3333333333,4.84444444179535,189.693766411921,-265.788883124457,89.3566665649414
2016-01-04 20:45:00,97361.4444444444,4.79111113548279,190.080129092255,-265.864442274306,89.2044441223145
2016-01-04 21:00:00,97354.7777777778,5.04555557833778,185.0705803822,-265.578888956706,89.3011108398437
2016-01-04 21:15:00,97342.3333333333,5.24666668309106,185.622928766791,-265.363331095378,90.2555555555556
2016-01-04 21:30:00,97331.7777777778,5.92888888782925,186.209029152605,-265.21221347385,91.675555589464
2016-01-04 21:45:00,97314.5555555556,5.80222223334842,185.820538834746,-265.241102091471,92.5722223069933
2016-01-04 22:00:00,97303.8888888889,5.87333333757189,187.510018893321,-265.206658257378,93.6844445970323
2016-01-04 22:15:00,97304.7777777778,5.6233333322737,188.895329642829,-265.286659749349,94.4844444274902
2016-01-04 22:30:00,97300.8888888889,5.00999999046326,191.662234049424,-265.219991726345,95.7433333502875
2016-01-04 22:45:00,97288,3.97444445557064,189.9228438305,-265.267769707574,96.3966667175293
2016-01-04 23:00:00,97279.6666666667,4.04999998410543,185.21774459572,-265.297771538628,95.5777777777778
2016-01-04 23:15:00,97286.4444444444,4.51444445186191,190.834410496001,-265.30221625434,95.4588893466526
2016-01-04 23:30:00,97285.6666666667,4.77333331108093,194.547586919939,-265.229989963108,95.2022220187717
2016-01-04 23:45:00,97290.7777777778,5.01888890531328,194.473590456415,-265.236657036675,95.0244444953071
2016-01-05 00:00:00,97291.3333333333,3.87222220367855,206.307041853595,-265.291104465061,94.9955554538303
